STATION_NUMBER,ZONE_DESCRIPTION
10000865,39318
10000868,39318
10000869,39318
10000863,39456
20001139,39536
20001153,39536
20001149,39525
20001136,39514
20001135,39511
20000955,39415
20000954,39411
10001027,39254
10001004,39254
10001005,39254
10001018,39121
10001028,39121
10000857,39287
10000859,39279
10000860,39279
10000861,39273
10000862,39273
20001704,39486
20001703,39485
20001701,39483
20001744,39482
10001036,39316
10001037,39316
91001901,39003
91001903,39003
23002310,39588
23002309,39588
71002015,39569
10001039,39264
71002013,39565
71002004,39565
81002101,39004
81002102,39004
81002103,39004
23002308,39590
10001029,39261
71002016,39570
71002017,39570
71002018,39570
71002019,39570
71002020,39570
81002105,39006
71002008,39562
71002009,39562
71002010,39562
71002011,39562
71002005,39562
71002012,39562
71002002,39566
71002003,39566
71002006,39567
71002007,39567
10000831,39283
10001049,39169
10001220,39231
10001201,39238
23002301,39591
23002302,39591
23002304,39591
23002305,39591
23002303,39591
81002104,39005
24002447,39700
24002448,39700
24002407,39701
24002410,39704
24002411,39704
24002412,39704
24002414,39708
24002416,39712
24002415,39712
24002417,39715
24002418,39715
24002419,39720
24002421,39725
24002422,39725
24002423,39735
24002424,39735
24002427,39744
24002431,39710
24002432,39710
24002435,39713
24002437,39718
24002438,39723
24002443,39740
24002444,39733
24002445,39733
24002446,39705
24002450,39709
24002451,39709
24002452,39702
24002453,39702
24002455,39751
24002456,39703
24002457,39717
24002458,39717
24002459,39707
24002460,39707
24002461,39722
24002462,39722
24002463,39711
24002494,39711
24002466,39714
24002467,39749
24002469,39719
24002470,39719
24002471,39747
24002473,39739
24002474,39724
24002476,39745
24002477,39745
24002478,39729
24002479,39729
24002480,39721
24002481,39726
24002482,39731
24002485,39743
24002486,39746
24002488,39737
24002489,39742
24002491,39736
24002492,39741
10000336,39155
10000416,39195
24002475,39734
61001612,39587
61001624,39583
71002014,39561
10001013,39265
10001047,39264
10001050,39270
10001044,39270
10001040,39251
35002537,39609
35002536,39609
35002538,39620
10001223,39229
10000331,39183
10001042,39125
10000702,39112
20001751,39482
20001754,39482
20001755,39484
20001756,39484
20001757,39484
35002533,39623
35002534,39621
35002529,39619
35002530,39618
35002531,39618
35002535,39617
35001556,39660
35001566,39664
35002519,39630
35002516,39641
35002518,39641
35002517,39641
35002528,39666
35002526,39629
35002527,39629
35002523,39631
35002521,39634
35002522,39634
35002512,39643
35002510,39643
35002504,39647
35002503,39650
35002502,39657
35002501,39663
35002506,39659
35002507,39659
35001557,39653
35001558,39653
35002509,39651
35002515,39648
35002514,39648
35001559,39603
10000523,39223
20000930,39420
35001562,39645
35002505,39656
10000102,39173
26002609,39806
26002612,39806
26002614,39803
26002608,39801
26002606,39801
26002601,39800
26002603,39801
26002604,39801
26002605,39801
10000122,39134
10000864,39284
10000713,39162
24002426,39735
24002425,39735
24002449,39748
35001551,39662
35001509,39605
26002618,39809
10000133,39142
10000626,39299
10000115,39104
10000118,39115
35001525,39638
35002539,39627
24002472,39748
10000128,39134
26002610,39802
26002623,39808
26002625,39810
26002607,39801
10000419,39188
61001616,39585
35001511,39633
35001523,39622
35001545,39608
35001529,39625
35001528,39626
10001022,39269
10000109,39135
10000110,39115
35002541,39632
35002540,39640
10000412,39310
10000114,39104
10000129,39179
10001045,39266
10000709,39162
20001426,39497
20001425,39409
20001434,39543
20001435,39543
35001568,39661
10000818,39455
28002801,39007
28002803,39007
28002802,39007
28002805,39007
28002804,39007
28002806,39007
28002807,39007
28002808,39007
28002809,39007
28002813,39007
28002810,39007
28002811,39007
27002701,39902
27002702,39902
19001905,39002
19001906,39002
19001907,39002
19001908,39002
27002710,39905
27002703,39904
27002704,39904
27002705,39904
27002706,39901
19001909,39002
26002627,39812
26002628,39812
26002629,39811
26002630,39811
26002631,39814
10000117,39108
10000405,39228
10000406,39203
10001051,39126
24002409,39752
24002408,39752
24002413,39708
24002429,39744
24002428,39744
82002220,
82002224,
82002225,
82002226,
82002227,
82002221,
82002228,
82002229,
82002222,
82002230,
82002223,
82002204,
82002213,
82002219,
82002218,
82002205,
82002201,
82002202,
82002203,
82002214,
82002215,
82002216,
82002217,
82002206,
82002212,
82002211,
82002210,
82002209,
82002207,
82002208,
10001024,39139
26002640,39819
26002639,39818
26002638,39817
26002637,39816
26002636,39816
26002634,39814
26002632,39811
10000856,39287
24002436,39723
24002441,39728
24002490,39754
24002487,39753
35001554,39638
35001567,39661
10000532,39211
24002439,39718
10000438,39182
20001419,39459
20001306,39470
24002405,39759
24002404,39758
24002403,39757
24002402,39756
24002401,39755
35001534,39612
20001740,39402
10000310,39206
10001226,39230
10000308,39201
10000101,39108
10000311,39174
10000624,39296
10001052,39156
10001053,39253
10000855,39289
20000917,39524
20000908,39430
20001438,39499
20001436,39539
35001531,39611
20001410,39464
71002001,39563
20000956,39412
20000909,39432
10001219,39244
10000622,39453
20001109,39525
20001108,39523
20001113,39518
10000227,39117
10000203,39114
20000938,39428
35002511,39620
35001538,39637
20001403,39471
35001512,39604
35001564,39660
10000609,39298
24002433,39713
81002106,
81002107,
81002109,
81002108,
36730002,
36730001,
36730003,
36730004,
36730005,
36730006,
36730007,
81002119,
81002120,
36730008,
36730009,
81002123,
81002124,
20000939,39411
20001107,39531
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
10001019,39265
10000734,39109
20001727,39552
20001725,39552
20001320,39475
20001322,39474
10000431,39195
10000827,39292
10000805,39288
35001550,39665
21002113,39024
21002112,39024
10001023,39252
35001508,39658
35002513,39620
10001030,39138
61001606,39584
10000506,39213
10001211,39234
23002306,39589
26002613,39806
26002611,39806
20001431,39498
35001535,39613
24002464,39727
24002420,39720
26002615,39804
26002622,39802
20000912,39508
20000931,39416
20000929,39421
35001555,39642
35002524,39632
35001520,39607
35001519,39600
26002621,39808
20001104,39513
10000216,39130
61001607,39581
10000215,39130
10000528,39308
,
,
,
,
,
,
,
